OBJECTID_1,STATEFP10,COUNTYFP10,GEOID10,NAME10,NAMELSAD10,totpop10,WFD,RDC_AAA,MNGWPD,MPO,MSA,F1HR_NA,F8HR_NA,Reg_Comm,Acres,Sq_Miles,Label,GlobalID,LINC_Region,ShapeSTArea,ShapeSTLength
141,13,273,13273,Terrell,Terrell County,9315,N,N,N,N,N,N,N,Southwest Georgia,216090,337.64001465,TERRELL,{41086D18-A3A1-465C-B85F-546033DB0E1E},10,9412872844.93583,512864.9016573
142,13,267,13267,Tattnall,Tattnall County,25520,N,N,N,N,N,N,N,Heart of Georgia Altamaha,312786,488.72799683,TATTNALL,{CE06C87B-7214-49BF-994B-664334CC475E},9,13624955486.4264,676237.133544229
143,13,079,13079,Crawford,Crawford County,12630,N,N,N,N,N,N,N,Middle Georgia,208890,326.39001465,CRAWFORD,{28D4E7EC-72D6-433E-B409-848FD30B036F},6,9099234155.0104,555658.546263082
144,13,183,13183,Long,Long County,14464,N,N,N,N,N,N,N,Coastal Regional Commission,258724,404.25601196,LONG,{90D6D72D-47AD-4493-A95B-38EB3EE149E6},12,11270020614.8648,604193.506139988
145,13,147,13147,Hart,Hart County,25213,N,N,N,N,N,N,N,Georgia Mountains,164463,256.97299194,HART,{25444153-1C63-43BB-AAD9-5B11CCD486AC},2,7164008674.24126,366506.455175928
146,13,057,13057,Cherokee,Cherokee County,214346,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,277969,434.32598877,CHEROKEE,{2E5CA3D4-B14C-4E90-9E96-1C3D7AA86608},3,12108330323.4026,504290.004249493
147,13,053,13053,Chattahoochee,Chattahoochee County,11267,N,N,N,N,N,N,N,River Valley,160727,251.13600159,CHATTAHOOCHEE,{1A3AC460-F36D-44A9-A304-90E510144676},8,7001274519.8447,477940.316553972
148,13,209,13209,Montgomery,Montgomery County,9123,N,N,N,N,N,N,N,Heart of Georgia Altamaha,156663,244.78599548,MONTGOMERY,{FB84BFED-A340-4FAF-B33F-B4BE832143E3},9,6824244843.41546,460062.683671646
149,13,297,13297,Walton,Walton County,83768,N,N,N,Partial,Y,N,Y,Northeast Georgia,211166,329.9460144,WALTON,{AC6F6636-DC09-40BB-9C44-6A43E3664156},5,9198379893.28093,443657.236311237
150,13,231,13231,Pike,Pike County,17869,N,N,N,N,Y,N,N,Three Rivers,140392,219.36300659,PIKE,{FF6BC82B-44E8-49ED-890C-552258C1EAC7},4,6115487363.38198,375979.907293643
151,13,017,13017,Ben Hill,Ben Hill County,17634,N,N,N,N,N,N,N,Southern Georgia,162500,253.90600586,BEN HILL,{6D3550C8-5513-4BB6-AC63-43E8B86E0630},11,7078507776.50877,472100.637006929
152,13,013,13013,Barrow,Barrow County,69367,N,N,N,Partial,Y,N,Y,Northeast Georgia,104266,162.91499329,BARROW,{76FCF409-DF1F-401B-9A6C-C4F0476F3647},5,4541824232.71289,360633.181323776
153,13,011,13011,Banks,Banks County,18395,N,N,N,N,N,N,N,Georgia Mountains,149671,233.86099243,BANKS,{8E9BBF53-95B2-4FA4-ABD5-39B02E25DC10},2,6519673358.74475,344388.563832517
154,13,223,13223,Paulding,Paulding County,142324,N,N,Y,Y,Y,Y,Y,Northwest Georgia,201159,314.31100464,PAULDING,{B2B4F642-C02B-440C-90F1-9B42748EF6D0},1,8762479339.97462,400771.304768356
155,13,131,13131,Grady,Grady County,25011,N,N,N,N,N,N,N,Southwest Georgia,294510,460.17098999,GRADY,{CA0502F7-D929-4AC1-AA26-088750C16EF3},10,12828843276.3736,477337.708810292
156,13,129,13129,Gordon,Gordon County,55186,N,N,N,N,N,N,N,Northwest Georgia,229125,358.00799561,GORDON,{A4390658-671E-4BA5-8A6A-0BB22820933A},1,9980701946.22349,516468.357929064
157,13,157,13157,Jackson,Jackson County,60485,N,N,N,N,N,N,N,Northeast Georgia,219556,343.05599976,JACKSON,{53521898-9A6F-4C81-8CB3-6BD5137A2040},5,9563859377.34312,486742.766616317
158,13,313,13313,Whitfield,Whitfield County,102599,N,N,N,N,N,N,N,Northwest Georgia,186262,291.03399658,WHITFIELD,{3167B8A9-2C9D-4583-B052-4C194E8BA018},1,8113560298.41443,589759.655317437
159,13,137,13137,Habersham,Habersham County,43041,N,N,N,N,N,N,N,Georgia Mountains,178555,278.99200439,HABERSHAM,{7849098F-F377-438B-8594-2E769E3B6357},2,7777852808.78498,502995.28175453
